VV FullAbs ResPart Thermal
-5 8.43054E-6 8.39863E-6 6.22687E-6
-4.9 2.00702E-5 2.00183E-5 1.56177E-5
-4.8 3.35282E-5 3.34695E-5 2.78553E-5
-4.7 5.45689E-5 5.44896E-5 4.80249E-5
-4.6 8.62528E-5 8.61655E-5 7.99004E-5
-4.5 0.000132294 0.000132201 0.000128225
-4.4 0.000196651 0.000196556 0.000198352
-4.3 0.000283003 0.00028291 0.00029558
-4.2 0.000393963 0.000393879 0.000424092
-4.1 0.000530152 0.000530081 0.000585576
-4 0.000689302 0.000689244 0.000777761
-3.9 0.000865626 0.000865577 0.000993181
-3.8 0.00104971 0.00104966 0.00121866
-3.7 0.00122907 0.00122903 0.00143592
-3.6 0.0013895 0.00138946 0.0016236
-3.5 0.00151689 0.00151684 0.00176055
-3.4 0.00159932 0.00159927 0.00182981
-3.3 0.00162902 0.00162897 0.00182237
-3.2 0.00160364 0.00160359 0.0017392
-3.1 0.00152653 0.00152648 0.0015911
-3 0.0014061 0.00140604 0.00139613
-2.9 0.00125427 0.0012542 0.00117578
-2.8 0.00108461 0.00108453 0.000951028
-2.7 0.000910385 0.000910297 0.000739264
-2.6 0.000742944 0.000742838 0.000552585
-2.5 0.000590699 0.000590571 0.000397399
-2.4 0.000458769 0.000458618 0.000275136
-2.3 0.000349214 0.000349046 0.000183561
-2.2 0.000261701 0.000261519 0.000118268
-2.1 0.000194368 0.000194174 7.40528E-5
-2 0.000144705 0.000144499 4.59844E-5
-1.9 0.000110358 0.000110139 3.01518E-5
-1.8 8.98088E-5 8.95726E-5 2.4164E-5
-1.7 8.29736E-5 8.2716E-5 2.75545E-5
-1.6 9.17894E-5 9.1505E-5 4.2246E-5
-1.5 0.000120846 0.000120528 7.31963E-5
-1.4 0.000178069 0.000177713 0.000129267
-1.3 0.000275389 0.00027499 0.000224236
-1.2 0.000429188 0.000428745 0.000377718
-1.1 0.000660234 0.00065975 0.000615551
-1 0.000992701 0.000992188 0.000969086
-0.9 0.00145192 0.0014514 0.00147273
-0.8 0.00206067 0.00206018 0.00215933
-0.7 0.00283421 0.00283376 0.0030533
-0.6 0.00377461 0.00377424 0.00416232
-0.5 0.00486573 0.00486544 0.00546889
-0.4 0.00607002 0.00606982 0.00692424
-0.3 0.00732872 0.00732859 0.00844708
-0.2 0.00856593 0.00856585 0.00992846
-0.1 0.00969647 0.00969641 0.0112439
0 0.0106361 0.010636 0.0122705
0.1 0.011312 0.011312 0.0129062
0.2 0.0116722 0.0116722 0.0130858
0.3 0.0116912 0.0116912 0.0127917
0.4 0.0113724 0.0113723 0.0120564
0.5 0.0107466 0.0107466 0.0109566
0.6 0.00986797 0.00986792 0.00960001
0.7 0.00880655 0.00880648 0.00810839
0.8 0.00764075 0.00764063 0.00659997
0.9 0.00644803 0.00644784 0.00517533
1 0.00529692 0.00529666 0.00390819
1.1 0.0042411 0.00424075 0.00284159
1.2 0.00331574 0.00331531 0.00198914
1.3 0.00253724 0.00253675 0.00134079
1.4 0.00190574 0.00190523 0.000870605
1.5 0.00140954 0.00140905 0.000544885
1.6 0.00103001 0.00102955 0.000328956
1.7 0.000745962 0.000745533 0.000191738
1.8 0.00053686 0.000536475 0.000108013
1.9 0.000384743 0.0003844 5.88866E-5
2 0.000274962 0.000274659 3.11226E-5
2.1 0.000196169 0.000195902 1.59856E-5
2.2 0.000139874 0.000139639 8.00983E-6
2.3 9.98464E-5 9.96389E-5 3.93974E-6
2.4 7.15443E-5 7.1361E-5 1.92264E-6
2.5 5.16493E-5 5.14869E-5 9.48107E-7
2.6 3.77281E-5 3.75837E-5 4.86499E-7
2.7 2.79991E-5 2.78701E-5 2.70225E-7
2.8 2.11728E-5 2.10571E-5 1.6855E-7
2.9 1.63354E-5 1.62311E-5 1.19486E-7
3 1.28565E-5 1.27619E-5 9.43828E-8
3.1 1.03122E-5 1.0226E-5 8.02567E-8
3.2 8.42237E-6 8.34345E-6 7.12939E-8
3.3 7.00229E-6 6.92968E-6 6.48952E-8
3.4 5.92754E-6 5.86045E-6 5.98828E-8
3.5 5.11068E-6 5.04844E-6 5.57055E-8
3.6 4.48637E-6 4.42844E-6 5.209E-8
3.7 4.0026E-6 3.9485E-6 4.88894E-8
3.8 3.616E-6 3.56532E-6 4.60168E-8
3.9 3.29015E-6 3.24256E-6 4.34151E-8
4 2.99572E-6 2.95092E-6 4.1044E-8
