VV FullAbs ResPart Thermal
-4 0.0185282 0.0185249 0.0150106
-3.8 0.02618 0.0261774 0.0359552
-3.6 0.0332259 0.0332234 0.0634682
-3.4 0.0359916 0.0359889 0.080194
-3.2 0.0336411 0.0336379 0.0726574
-3 0.028838 0.0288338 0.0471046
-2.8 0.0257592 0.0257537 0.0221024
-2.6 0.0256169 0.0256112 0.00796355
-2.4 0.0272523 0.0272465 0.00239238
-2.2 0.0298402 0.0298341 0.000636371
-2 0.0331906 0.0331841 0.000157974
-1.8 0.0373646 0.0373575 5.32326E-5
-1.6 0.0424819 0.0424741 9.18392E-5
-1.4 0.0486734 0.0486647 0.000389249
-1.2 0.0561475 0.0561376 0.00167795
-1 0.0654051 0.0653938 0.00660388
-0.8 0.0773928 0.0773809 0.0230077
-0.6 0.0922575 0.0922472 0.0669857
-0.4 0.105947 0.10594 0.150974
-0.2 0.112992 0.112986 0.258931
0 0.114435 0.114429 0.351752
0.2 0.113322 0.113316 0.38899
0.4 0.110591 0.110584 0.351259
0.6 0.104997 0.104988 0.253379
0.8 0.0953749 0.095362 0.140917
1 0.0880051 0.0879903 0.0585551
1.2 0.086477 0.0864632 0.0189869
1.4 0.0884352 0.0884227 0.00522891
1.6 0.091971 0.0919592 0.00128353
1.8 0.0961472 0.096136 0.00028754
2 0.100216 0.100205 6.21988E-5
2.2 0.103268 0.103258 1.5705E-5
2.4 0.104147 0.104138 6.31472E-6
2.6 0.101559 0.10155 4.03407E-6
2.8 0.094427 0.0944184 3.1598E-6
3 0.082444 0.0824357 2.6478E-6
3.2 0.0665777 0.0665695 2.28049E-6
3.4 0.0490954 0.0490873 1.99425E-6
3.6 0.0328281 0.0328203 1.76221E-6
3.8 0.0199546 0.0199475 1.56983E-6
4 0.0111672 0.0111613 1.40795E-6
