VV FullAbs ResPart Thermal
-4 0.00514849 0.00514675 0.00495345
-3.8 0.0083293 0.00832729 0.0105289
-3.6 0.0147668 0.0147657 0.0205996
-3.4 0.0216009 0.0216001 0.0296031
-3.2 0.0194402 0.0194392 0.0251921
-3 0.01254 0.0125381 0.0141079
-2.8 0.0080262 0.00802397 0.00677249
-2.6 0.00607102 0.00606888 0.00320364
-2.4 0.00564267 0.00564068 0.00154776
-2.2 0.00610881 0.00610687 0.000798233
-2 0.00714536 0.00714336 0.000506965
-1.8 0.00856207 0.00855989 0.000480943
-1.6 0.0102474 0.0102449 0.000687272
-1.4 0.0122007 0.0121978 0.00126454
-1.2 0.0145853 0.0145816 0.00262152
-1 0.0177659 0.0177613 0.00565439
-0.8 0.0224491 0.0224429 0.0121928
-0.6 0.0303096 0.0303013 0.025975
-0.4 0.0454462 0.0454366 0.0536906
-0.2 0.0730143 0.0730073 0.0986645
0 0.10303 0.103026 0.140917
0.2 0.117326 0.117325 0.158177
0.4 0.108338 0.108335 0.142343
0.6 0.0782554 0.0782495 0.094425
0.8 0.0506799 0.0506714 0.049287
1 0.0343071 0.0342995 0.0236038
1.2 0.0256893 0.0256834 0.0110657
1.4 0.0209859 0.0209814 0.00510945
1.6 0.0180084 0.018005 0.00234826
1.8 0.0156928 0.0156901 0.00111084
2 0.0135522 0.01355 0.000563953
2.2 0.0113951 0.0113933 0.000313895
2.4 0.00919666 0.00919504 0.000189331
2.6 0.00703316 0.00703172 0.000120301
2.8 0.00503539 0.00503408 7.85374E-5
3 0.00333933 0.00333813 5.18753E-5
3.2 0.00203649 0.00203539 3.43991E-5
3.4 0.00114173 0.00114075 2.28281E-5
3.6 0.000595925 0.000595054 1.51545E-5
3.8 0.000299564 0.000298811 1.00766E-5
4 0.000153787 0.000153144 6.72724E-6
