VV FullAbs ResPart Thermal
-4 0.025108 0.0251036 0.0155201
-3.8 0.0357734 0.0357695 0.0312366
-3.6 0.0479256 0.0479234 0.0561201
-3.4 0.0525321 0.0525299 0.0742745
-3.2 0.0415198 0.0415166 0.0658534
-3 0.0267274 0.0267216 0.0406588
-2.8 0.0183496 0.0183433 0.0208122
-2.6 0.0149447 0.0149387 0.0103706
-2.4 0.0142906 0.0142846 0.00528498
-2.2 0.0156004 0.0155943 0.00287504
-2 0.0188151 0.0188085 0.00190805
-1.8 0.0241083 0.024101 0.00184877
-1.6 0.0316737 0.0316652 0.00264056
-1.4 0.0417935 0.0417833 0.00477263
-1.2 0.0551612 0.0551488 0.00956415
-1 0.0731767 0.073162 0.0197073
-0.8 0.0975923 0.0975758 0.0402368
-0.6 0.128966 0.12895 0.0800054
-0.4 0.163983 0.163971 0.147712
-0.2 0.192523 0.192517 0.223734
0 0.202418 0.202414 0.268363
0.2 0.196095 0.196091 0.281438
0.4 0.177194 0.177188 0.26791
0.6 0.143534 0.143521 0.218833
0.8 0.107921 0.107904 0.138581
1 0.0833606 0.0833446 0.0736339
1.2 0.0676605 0.0676478 0.0368901
1.4 0.0563852 0.0563752 0.0179737
1.6 0.0470105 0.0470025 0.00863683
1.8 0.0384831 0.0384765 0.00421627
2 0.0305204 0.0305147 0.00217233
2.2 0.0231867 0.0231817 0.00121134
2.4 0.0166827 0.0166782 0.000729279
2.6 0.0112337 0.0112295 0.000463546
2.8 0.00700254 0.00699881 0.000303446
3 0.00401341 0.00401008 0.000200984
3.2 0.00212086 0.00211794 0.000133349
3.4 0.00105513 0.0010526 8.82172E-5
3.6 0.000518327 0.000516164 5.81102E-5
3.8 0.000269292 0.000267445 3.81388E-5
4 0.000155562 0.000153969 2.49909E-5
