VV FullAbs ResPart Thermal
-5 0.000133955 0.00013382 1.76169E-5
-4.9 0.000278202 0.000277984 4.52309E-5
-4.8 0.000386189 0.000385949 8.30904E-5
-4.7 0.000531941 0.000531628 0.000147096
-4.6 0.000725763 0.000725428 0.000250522
-4.5 0.00097856 0.000978217 0.00041033
-4.4 0.00129978 0.00129944 0.000645795
-4.3 0.0016947 0.00169439 0.000975817
-4.2 0.00216129 0.00216103 0.00141462
-4.1 0.00268745 0.00268724 0.0019664
-4 0.00324983 0.00324965 0.00262031
-3.9 0.00381487 0.0038147 0.00334728
-3.8 0.00434231 0.00434214 0.00410019
-3.7 0.00479014 0.00478997 0.00481806
-3.6 0.00511968 0.0051195 0.0054331
-3.5 0.00529973 0.00529954 0.00587979
-3.4 0.00531057 0.00531037 0.00610534
-3.3 0.00514836 0.00514815 0.00608109
-3.2 0.00482782 0.00482759 0.00581026
-3.1 0.0043797 0.00437945 0.00532694
-3 0.00384454 0.00384426 0.00468718
-2.9 0.00326646 0.00326615 0.00395768
-2.8 0.00268835 0.00268798 0.00320555
-2.7 0.00214732 0.00214687 0.0024896
-2.6 0.0016708 0.00167026 0.00185368
-2.5 0.00127471 0.00127409 0.00132326
-2.4 0.000964215 0.000963541 0.00090603
-2.3 0.000736606 0.000735886 0.000595554
-2.2 0.000585041 0.000584279 0.000376543
-2.1 0.000502194 0.000501387 0.000230194
-2 0.000483106 0.000482246 0.000138455
-1.9 0.000527095 0.00052617 8.68771E-5
-1.8 0.000638994 0.00063799 6.63569E-5
-1.7 0.000830096 0.000828999 7.43981E-5
-1.6 0.00111914 0.00111794 0.00011656
-1.5 0.00153344 0.00153211 0.000208616
-1.4 0.00210985 0.0021084 0.000379585
-1.3 0.00289498 0.00289339 0.000675275
-1.2 0.00394315 0.00394146 0.00116116
-1.1 0.00531087 0.00530911 0.0019225
-1 0.00704621 0.00704447 0.00305894
-0.9 0.00917375 0.00917211 0.00467109
-0.8 0.0116775 0.011676 0.0068386
-0.7 0.0144872 0.014486 0.009593
-0.6 0.0174755 0.0174746 0.0128927
-0.5 0.0204692 0.0204686 0.0166093
-0.4 0.0232757 0.0232754 0.0205346
-0.3 0.0257156 0.0257154 0.0244076
-0.2 0.0276482 0.027648 0.027953
-0.1 0.0289825 0.0289824 0.0309166
0 0.0296753 0.0296752 0.0330902
0.1 0.0297212 0.0297211 0.0343253
0.2 0.0291431 0.029143 0.0345409
0.3 0.027984 0.0279839 0.0337298
0.4 0.0263034 0.0263032 0.0319606
0.5 0.0241791 0.0241788 0.029375
0.6 0.0217079 0.0217075 0.0261723
0.7 0.0190023 0.0190017 0.0225825
0.8 0.0161859 0.0161852 0.0188388
0.9 0.0133898 0.0133887 0.0151573
1 0.0107439 0.0107426 0.0117267
1.1 0.00836239 0.00836084 0.00869797
1.2 0.00632508 0.00632339 0.00617114
1.3 0.00466537 0.00466365 0.00418371
1.4 0.00337179 0.00337014 0.00271082
1.5 0.00240075 0.00239922 0.0016807
1.6 0.00169328 0.00169189 0.000998746
1.7 0.00118907 0.00118783 0.000569871
1.8 0.000834959 0.000833866 0.000312754
1.9 0.000588344 0.000587384 0.000165369
2 0.000417135 0.000416292 8.43933E-5
2.1 0.000298177 0.000297437 4.16711E-5
2.2 0.00021521 0.000214557 1.99915E-5
2.3 0.000156993 0.000156415 9.3933E-6
2.4 0.00011582 0.000115307 4.39216E-6
2.5 8.64282E-5 8.59689E-5 2.10666E-6
2.6 6.52193E-5 6.48065E-5 1.08885E-6
2.7 4.97355E-5 4.93625E-5 6.41567E-7
2.8 3.82939E-5 3.79551E-5 4.42687E-7
2.9 2.97393E-5 2.94301E-5 3.49106E-7
3 2.32734E-5 2.29898E-5 2.99562E-7
3.1 1.83383E-5 1.80771E-5 2.68674E-7
3.2 1.45365E-5 1.4295E-5 2.46182E-7
3.3 1.15782E-5 1.1354E-5 2.2797E-7
3.4 9.24805E-6 9.03925E-6 2.12347E-7
3.5 7.38514E-6 7.19008E-6 1.98558E-7
3.6 5.87161E-6 5.68889E-6 1.86211E-7
3.7 4.62504E-6 4.45345E-6 1.75065E-7
3.8 3.59162E-6 3.43009E-6 1.64949E-7
3.9 2.7381E-6 2.58572E-6 1.55726E-7
4 2.04326E-6 1.89923E-6 1.47287E-7
