VV FullAbs ResPart Thermal
-5 0.0021317 0.0021311 5.57903E-6
-4.9 0.00375654 0.00375563 1.59729E-5
-4.8 0.00416264 0.00416167 3.62059E-5
-4.7 0.00475756 0.00475623 8.27707E-5
-4.6 0.00532132 0.00531988 0.000185071
-4.5 0.00596353 0.00596201 0.000401571
-4.4 0.00670641 0.00670479 0.000838182
-4.3 0.00756894 0.00756725 0.00167244
-4.2 0.00857086 0.00856911 0.00317312
-4.1 0.00972649 0.0097247 0.00569461
-4 0.0110336 0.0110318 0.00961518
-3.9 0.0124584 0.0124567 0.0151937
-3.8 0.0139227 0.0139209 0.0223604
-3.7 0.0153024 0.0153006 0.0305256
-3.6 0.0164497 0.0164478 0.0385444
-3.5 0.0172376 0.0172355 0.0449397
-3.4 0.017612 0.0176097 0.0483423
-3.3 0.0176274 0.017625 0.0479673
-3.2 0.0174433 0.0174407 0.043904
-3.1 0.0172783 0.0172756 0.0370827
-3 0.0173387 0.0173358 0.028932
-2.9 0.017752 0.0177489 0.0208922
-2.8 0.0185357 0.0185324 0.0140073
-2.7 0.0196086 0.0196052 0.00875619
-2.6 0.0208329 0.0208294 0.00512881
-2.5 0.0220656 0.022062 0.00283004
-2.4 0.023201 0.0231973 0.00147922
-2.3 0.0241949 0.0241911 0.000736622
-2.2 0.0250656 0.0250616 0.000351981
-2.1 0.0258781 0.0258738 0.000163322
-2 0.0267185 0.026714 7.56176E-5
-1.9 0.0276713 0.0276665 3.75389E-5
-1.8 0.0288038 0.0287988 2.36996E-5
-1.7 0.030163 0.0301576 2.36843E-5
-1.6 0.031779 0.0317734 3.70743E-5
-1.5 0.0336735 0.0336677 7.39992E-5
-1.4 0.0358688 0.0358627 0.000162294
-1.3 0.0383946 0.0383881 0.000364692
-1.2 0.041294 0.0412872 0.000812263
-1.1 0.0446283 0.0446212 0.00176247
-1 0.0484789 0.0484714 0.00368865
-0.9 0.0529451 0.0529373 0.0073962
-0.8 0.0581323 0.0581244 0.0141312
-0.7 0.0641239 0.0641159 0.0255998
-0.6 0.0709335 0.0709257 0.043774
-0.5 0.078444 0.0784366 0.0703883
-0.4 0.0863529 0.086346 0.106166
-0.3 0.094158 0.0941516 0.150011
-0.2 0.101204 0.101198 0.198508
-0.1 0.106793 0.106787 0.24606
0 0.11034 0.110335 0.285826
0.1 0.111527 0.111521 0.311373
0.2 0.110386 0.11038 0.318449
0.3 0.107276 0.10727 0.306082
0.4 0.102754 0.102748 0.276633
0.5 0.0974467 0.0974395 0.234957
0.6 0.0919642 0.0919563 0.187174
0.7 0.0868187 0.0868104 0.139451
0.8 0.0824427 0.0824339 0.0969282
0.9 0.079019 0.0790099 0.0628136
1 0.0764903 0.0764813 0.0380235
1.1 0.0746899 0.0746811 0.0215888
1.2 0.0734077 0.0733992 0.0115589
1.3 0.072449 0.0724408 0.00586987
1.4 0.0716537 0.0716457 0.0028438
1.5 0.0708941 0.0708864 0.00132273
1.6 0.0700654 0.0700581 0.000595462
1.7 0.0690769 0.0690698 0.000262645
1.8 0.0678462 0.0678394 0.000115785
1.9 0.0662979 0.0662913 5.26126E-5
2 0.0643643 0.064358 2.56489E-5
2.1 0.0619894 0.0619833 1.391E-5
2.2 0.0591337 0.0591278 8.5043E-6
2.3 0.0557804 0.0557747 5.77977E-6
2.4 0.0519408 0.0519353 4.25504E-6
2.5 0.0476592 0.0476539 3.31824E-6
2.6 0.0430137 0.0430085 2.70109E-6
2.7 0.0381143 0.0381092 2.27388E-6
2.8 0.0330964 0.0330915 1.96658E-6
2.9 0.0281109 0.0281061 1.73786E-6
3 0.0233114 0.0233068 1.56188E-6
3.1 0.0188406 0.0188361 1.42202E-6
3.2 0.0148167 0.0148124 1.30744E-6
3.3 0.0113237 0.0113197 1.21098E-6
3.4 0.00840501 0.00840128 1.12791E-6
3.5 0.00606172 0.00605831 1.05505E-6
3.6 0.00425739 0.00425429 9.90228E-7
3.7 0.00292643 0.00292363 9.31928E-7
3.8 0.00198599 0.00198349 8.79063E-7
3.9 0.00134843 0.0013462 8.3083E-7
4 0.000931959 0.000929973 7.86611E-7
