VV FullAbs ResPart Thermal
-5 0.000935203 0.000935002 5.72078E-5
-4.9 0.00166571 0.0016654 0.000117301
-4.8 0.00201994 0.00201962 0.000162187
-4.7 0.00267576 0.00267533 0.000227761
-4.6 0.00319706 0.00319663 0.000324389
-4.5 0.00376889 0.00376845 0.000467491
-4.4 0.00439731 0.00439687 0.000678885
-4.3 0.00507086 0.00507044 0.000988148
-4.2 0.00577023 0.00576984 0.00143259
-4.1 0.00646517 0.00646482 0.00205383
-4 0.00711195 0.00711163 0.00288827
-3.9 0.0076533 0.00765301 0.00394927
-3.8 0.00802345 0.00802317 0.00520358
-3.7 0.00815957 0.00815927 0.00655111
-3.6 0.00801852 0.0080182 0.0078236
-3.5 0.00759426 0.00759389 0.00881433
-3.4 0.00692826 0.00692784 0.00933511
-3.3 0.00610624 0.00610576 0.00927869
-3.2 0.00523913 0.00523857 0.00865738
-3.1 0.00443417 0.00443351 0.00759847
-3 0.00376841 0.00376765 0.00629893
-2.9 0.00327595 0.0032751 0.0049618
-2.8 0.00295235 0.00295145 0.00374342
-2.7 0.0027704 0.00276948 0.00273036
-2.6 0.00269731 0.00269638 0.0019456
-2.5 0.00270664 0.00270568 0.00137038
-2.4 0.00278354 0.00278254 0.000967127
-2.3 0.00292543 0.00292437 0.000695611
-2.2 0.00314074 0.0031396 0.000521178
-2.1 0.00344753 0.0034463 0.000417447
-2 0.00387249 0.00387117 0.000366147
-1.9 0.00445012 0.00444869 0.000356002
-1.8 0.00522172 0.00522019 0.000381656
-1.7 0.00623376 0.00623213 0.000443109
-1.6 0.00753547 0.00753374 0.000545918
-1.5 0.00917563 0.0091738 0.000702334
-1.4 0.0111987 0.0111968 0.000933624
-1.3 0.0136407 0.0136387 0.00127386
-1.2 0.0165245 0.0165224 0.00177545
-1.1 0.0198552 0.0198531 0.00251662
-1 0.0236139 0.0236119 0.00361044
-0.9 0.0277492 0.0277473 0.00521374
-0.8 0.0321659 0.0321641 0.00753128
-0.7 0.0367103 0.0367088 0.0108065
-0.6 0.0411579 0.0411567 0.0152867
-0.5 0.0452087 0.0452078 0.0211522
-0.4 0.0484997 0.0484991 0.0284157
-0.3 0.0506427 0.0506422 0.0368183
-0.2 0.0512863 0.0512859 0.045767
-0.1 0.0501937 0.0501933 0.0543567
0 0.0473139 0.0473134 0.0614985
0.1 0.0428208 0.04282 0.0661492
0.2 0.0371003 0.0370992 0.0675826
0.3 0.030687 0.0306855 0.0655826
0.4 0.0241708 0.0241689 0.0604802
0.5 0.0180997 0.0180975 0.0530434
0.6 0.0128899 0.0128873 0.0442919
0.7 0.00876142 0.00875863 0.0352895
0.8 0.00572524 0.00572242 0.0269391
0.9 0.00363298 0.00363035 0.0198272
1 0.00226244 0.00226013 0.0141809
1.1 0.00139427 0.00139228 0.00994075
1.2 0.000853697 0.000852014 0.00688633
1.3 0.000519055 0.000517625 0.00474941
1.4 0.00031225 0.00031103 0.00328215
1.5 0.000184988 0.000183942 0.00228477
1.6 0.00010748 0.000106577 0.00160853
1.7 6.1068E-5 6.02822E-5 0.0011481
1.8 3.38884E-5 3.31991E-5 0.00083136
1.9 1.83798E-5 1.77701E-5 0.000610113
2 9.77629E-6 9.23285E-6 0.000452686
2.1 5.1404E-6 4.65236E-6 0.000338492
2.2 2.71335E-6 2.27208E-6 0.00025419
2.3 1.47639E-6 1.07496E-6 0.000191076
2.4 8.59765E-7 4.92569E-7 0.000143377
2.5 5.56113E-7 2.18575E-7 0.000107152
2.6 4.05575E-7 9.39387E-8 7.96232E-5
2.7 3.27963E-7 3.91159E-8 5.87594E-5
2.8 2.84452E-7 1.57918E-8 4.30295E-5
2.9 2.56858E-7 6.18855E-9 3.12539E-5
3 2.36903E-7 2.35853E-9 2.25117E-5
3.1 2.20896E-7 8.76715E-10 1.60806E-5
3.2 2.07194E-7 3.19284E-10 1.13951E-5
3.3 1.95046E-7 1.14677E-10 8.01513E-6
3.4 1.84078E-7 4.10047E-11 5.60128E-6
3.5 1.74081E-7 1.47778E-11 3.89455E-6
3.6 1.64918E-7 5.4448E-12 2.69961E-6
3.7 1.56487E-7 2.0782E-12 1.87094E-6
3.8 1.48706E-7 8.28421E-13 1.30147E-6
3.9 1.41505E-7 3.44943E-13 9.13412E-7
4 1.34827E-7 1.48957E-13 6.50923E-7
