VV FullAbs ResPart Thermal
-5 0.00285792 0.00285715 1.19412E-5
-4.9 0.00322689 0.00322608 2.42314E-5
-4.8 0.00364235 0.0036415 4.87809E-5
-4.7 0.00409877 0.00409788 9.6664E-5
-4.6 0.00458624 0.00458531 0.00018799
-4.5 0.00509246 0.00509149 0.000358676
-4.4 0.0056063 0.00560529 0.000671898
-4.3 0.00612195 0.00612088 0.00123662
-4.2 0.00664207 0.00664096 0.00223446
-4.1 0.00717803 0.00717687 0.00394901
-4 0.0077451 0.00774392 0.00677302
-3.9 0.00835231 0.00835111 0.0111398
-3.8 0.00898918 0.00898798 0.0173159
-3.7 0.00961601 0.00961477 0.0250649
-3.6 0.0101663 0.010165 0.0333545
-3.5 0.0105673 0.0105659 0.0404167
-3.4 0.0107722 0.0107707 0.0443331
-3.3 0.0107877 0.0107862 0.0439057
-3.2 0.010679 0.0106774 0.0392695
-3.1 0.0105456 0.0105439 0.0318215
-3 0.0104843 0.0104825 0.0235159
-2.9 0.0105591 0.0105571 0.0160116
-2.8 0.0107931 0.010791 0.0101797
-2.7 0.0111799 0.0111778 0.00613426
-2.6 0.011701 0.0116988 0.00355392
-2.5 0.0123384 0.0123361 0.00200206
-2.4 0.01308 0.0130776 0.00110456
-2.3 0.0139198 0.0139173 0.000598918
-2.2 0.0148558 0.0148532 0.000319688
-2.1 0.0158875 0.0158849 0.00016855
-2 0.0170142 0.0170115 8.90394E-5
-1.9 0.018234 0.0182311 4.97816E-5
-1.8 0.0195434 0.0195405 3.45973E-5
-1.7 0.0209381 0.020935 3.73659E-5
-1.6 0.0224133 0.0224101 6.03361E-5
-1.5 0.0239659 0.0239625 0.000115517
-1.4 0.025595 0.0255915 0.000229699
-1.3 0.0273042 0.0273004 0.000454741
-1.2 0.0291021 0.0290982 0.000886257
-1.1 0.0310041 0.0310001 0.00169609
-1 0.0330325 0.0330282 0.00318679
-0.9 0.0352156 0.0352112 0.00587755
-0.8 0.037584 0.0375795 0.0106229
-0.7 0.0401601 0.0401555 0.0187305
-0.6 0.0429395 0.0429349 0.0319668
-0.5 0.0458672 0.0458628 0.0522497
-0.4 0.0488162 0.048812 0.0808714
-0.3 0.051586 0.051582 0.117427
-0.2 0.0539327 0.0539288 0.159081
-0.1 0.055624 0.0556202 0.200855
0 0.0564917 0.0564878 0.236828
0.1 0.0564578 0.0564538 0.261495
0.2 0.0555365 0.0555322 0.270732
0.3 0.0538345 0.0538301 0.262467
0.4 0.0515606 0.0515559 0.237335
0.5 0.0490239 0.0490188 0.199149
0.6 0.0465891 0.0465838 0.154457
0.7 0.0445842 0.0445785 0.110717
0.8 0.0432083 0.0432022 0.0737508
0.9 0.0425035 0.0424973 0.0461335
1 0.0423997 0.0423935 0.0274621
1.1 0.0427846 0.0427784 0.0157577
1.2 0.043555 0.0435488 0.00880122
1.3 0.0446372 0.0446309 0.0048125
1.4 0.045986 0.0459797 0.00258199
1.5 0.0475763 0.0475699 0.00135939
1.6 0.0493946 0.0493881 0.000701851
1.7 0.0514323 0.0514257 0.000355242
1.8 0.053681 0.0536743 0.000176474
1.9 0.0561288 0.0561219 8.63888E-5
2 0.0587559 0.0587489 4.20558E-5
2.1 0.0615311 0.061524 2.07233E-5
2.2 0.0644063 0.0643992 1.06466E-5
2.3 0.0673112 0.0673041 5.93428E-6
2.4 0.070147 0.07014 3.71827E-6
2.5 0.0727816 0.0727747 2.64287E-6
2.6 0.0750459 0.0750391 2.08465E-6
2.7 0.0767358 0.0767292 1.76329E-6
2.8 0.077622 0.0776155 1.55447E-6
2.9 0.0774685 0.0774622 1.40302E-6
3 0.0760633 0.0760572 1.28386E-6
3.1 0.073256 0.07325 1.185E-6
3.2 0.0689969 0.0689909 1.10023E-6
3.3 0.0633681 0.0633622 1.02601E-6
3.4 0.0565973 0.0565912 9.60097E-7
3.5 0.049045 0.0490389 9.00984E-7
3.6 0.0411647 0.0411584 8.47574E-7
3.7 0.0334379 0.0334317 7.99036E-7
3.8 0.0262996 0.0262935 7.54723E-7
3.9 0.0200704 0.0200645 7.14111E-7
4 0.0149181 0.0149126 6.7677E-7
4.1 0.0108584 0.0108533 6.42341E-7
4.2 0.00778919 0.00778461 6.10515E-7
4.3 0.00554307 0.00553903 5.81029E-7
4.4 0.00393596 0.00393244 5.53654E-7
4.5 0.00280046 0.00279741 5.2819E-7
4.6 0.00200126 0.00199862 5.04461E-7
4.7 0.00143728 0.00143498 4.8231E-7
4.8 0.00103678 0.00103476 4.61599E-7
4.9 0.000750339 0.000748566 4.42206E-7
5 0.000544312 0.000542736 4.24019E-7
