VV FullAbs ResPart Thermal
-4 0.00699116 0.00698958 0.00524319
-3.8 0.0116879 0.011687 0.0122418
-3.6 0.0165442 0.0165435 0.0215875
-3.4 0.0178841 0.0178834 0.0272453
-3.2 0.0143665 0.0143656 0.0247063
-3 0.00902656 0.00902487 0.0160209
-2.8 0.00577761 0.0057752 0.00760305
-2.6 0.00504388 0.00504163 0.00290782
-2.4 0.00555605 0.00555396 0.00100112
-2.2 0.00657864 0.00657654 0.000347131
-2 0.00788551 0.00788327 0.000152209
-1.8 0.00943494 0.00943244 0.000120868
-1.6 0.0112513 0.0112484 0.000179627
-1.4 0.0134065 0.013403 0.000388608
-1.2 0.0161006 0.0160962 0.00104086
-1 0.0199286 0.0199229 0.00307947
-0.8 0.0263245 0.0263177 0.00912292
-0.6 0.0371732 0.0371668 0.0246497
-0.4 0.0511513 0.0511475 0.0538464
-0.2 0.0617323 0.0617303 0.0874686
0 0.0655346 0.0655332 0.11126
0.2 0.0645345 0.0645329 0.11963
0.4 0.059522 0.0595198 0.110833
0.6 0.0484213 0.0484173 0.0858078
0.8 0.0341476 0.0341398 0.0504339
1 0.0256526 0.0256449 0.0217586
1.2 0.0228413 0.0228354 0.0077545
1.4 0.0221396 0.0221351 0.00257534
1.6 0.0219492 0.0219457 0.000870771
1.8 0.0217476 0.0217447 0.00032704
2 0.0212593 0.0212568 0.000143955
2.2 0.0202305 0.0202283 7.30104E-5
2.4 0.018425 0.0184231 4.04826E-5
2.6 0.0157345 0.0157328 2.35928E-5
2.8 0.012324 0.0123223 1.42048E-5
3 0.00867157 0.00866996 8.79588E-6
3.2 0.00539523 0.00539369 5.60356E-6
3.4 0.00294974 0.0029483 3.67895E-6
3.6 0.00143205 0.00143078 2.49362E-6
3.8 0.00064109 0.000640008 1.74742E-6
4 0.000285373 0.000284484 1.26701E-6
