VV FullAbs ResPart Thermal
-4 0.0131834 0.0131809 0.0158482
-3.9 0.0156329 0.0156306 0.0235186
-3.8 0.0183674 0.0183654 0.0329631
-3.7 0.0210749 0.021073 0.0433064
-3.6 0.023353 0.023351 0.0530828
-3.5 0.024845 0.0248429 0.0606204
-3.4 0.025353 0.0253508 0.0645417
-3.3 0.0248845 0.0248822 0.0641225
-3.2 0.0236677 0.0236652 0.0594402
-3.1 0.0221297 0.0221269 0.0513598
-3 0.0207712 0.0207678 0.0413486
-2.9 0.0199629 0.0199589 0.0310788
-2.8 0.0198276 0.0198234 0.0219254
-2.7 0.0202884 0.0202841 0.0146358
-2.6 0.0211939 0.0211896 0.00933481
-2.5 0.0224088 0.0224045 0.00574971
-2.4 0.0238439 0.0238395 0.00345886
-2.3 0.0254506 0.0254462 0.00205694
-2.2 0.0272069 0.0272023 0.0012267
-2.1 0.0291047 0.0290999 0.000749227
-2 0.0311423 0.0311374 0.000486606
-1.9 0.0333202 0.0333151 0.00035894
-1.8 0.0356386 0.0356332 0.000325952
-1.7 0.038097 0.0380913 0.000376142
-1.6 0.0406946 0.0406886 0.00052353
-1.5 0.043432 0.0434257 0.000811932
-1.4 0.0463146 0.0463079 0.00132819
-1.3 0.0493571 0.0493499 0.00222796
-1.2 0.0525904 0.0525828 0.00377991
-1.1 0.0560689 0.0560608 0.00643407
-1 0.0598732 0.0598646 0.0109136
-0.9 0.0640984 0.0640894 0.0183078
-0.8 0.0688172 0.0688081 0.0300989
-0.7 0.0740118 0.074003 0.0479937
-0.6 0.0794883 0.0794802 0.0734078
-0.5 0.0848306 0.0848235 0.106632
-0.4 0.0894896 0.0894834 0.146175
-0.3 0.0930313 0.0930255 0.188969
-0.2 0.0953622 0.0953568 0.23128
-0.1 0.0967134 0.096708 0.269359
0 0.0974241 0.0974185 0.299651
0.1 0.0977557 0.09775 0.319127
0.2 0.0978295 0.0978236 0.325713
0.3 0.09762 0.0976139 0.318577
0.4 0.0969374 0.0969308 0.298266
0.5 0.0954318 0.0954247 0.266714
0.6 0.0928082 0.0928001 0.227015
0.7 0.089303 0.0892933 0.182994
0.8 0.0858042 0.085793 0.138902
0.9 0.0832088 0.0831969 0.0990097
1 0.08184 0.0818281 0.0665137
1.1 0.0815256 0.0815142 0.042512
1.2 0.0819432 0.0819323 0.0261663
1.3 0.0828238 0.0828135 0.0156973
1.4 0.0839927 0.0839827 0.00927441
1.5 0.0853445 0.0853348 0.00544099
1.6 0.0868126 0.0868033 0.00318848
1.7 0.0883479 0.0883388 0.00187459
1.8 0.089906 0.0898972 0.00111004
1.9 0.0914399 0.0914313 0.000665031
2 0.0928952 0.0928869 0.000405414
2.1 0.0942061 0.094198 0.000253142
2.2 0.0952912 0.0952835 0.000162913
2.3 0.0960505 0.0960431 0.00010853
2.4 0.0963618 0.0963548 7.49291E-5
2.5 0.0960818 0.0960752 5.34994E-5
2.6 0.0950503 0.095044 3.9334E-5
2.7 0.0931022 0.0930963 2.96273E-5
2.8 0.090088 0.0900823 2.27553E-5
2.9 0.0858991 0.0858936 1.77561E-5
3 0.0804963 0.0804909 1.40404E-5
3.1 0.0739336 0.0739282 1.12329E-5
3.2 0.066372 0.0663666 9.08421E-6
3.3 0.0580781 0.0580725 7.42268E-6
3.4 0.0494058 0.0494001 6.12648E-6
3.5 0.0407603 0.0407545 5.10721E-6
3.6 0.032549 0.0325431 4.29964E-6
3.7 0.025126 0.0251201 3.65511E-6
3.8 0.0187441 0.0187383 3.137E-6
3.9 0.0135259 0.0135204 2.71752E-6
4 0.00946345 0.00945818 2.37546E-6
