VV FullAbs ResPart Thermal
-4 0.0152519 0.0152504 0.0132993
-3.9 0.017366 0.0173647 0.0168222
-3.8 0.0195781 0.0195771 0.0207561
-3.7 0.0216484 0.0216474 0.0247933
-3.6 0.0232656 0.0232645 0.0284599
-3.5 0.0241442 0.0241431 0.0312242
-3.4 0.0241226 0.0241215 0.032651
-3.3 0.0232177 0.0232165 0.0325134
-3.2 0.0216308 0.0216294 0.0308363
-3.1 0.0196994 0.0196978 0.0278923
-3 0.0177889 0.0177869 0.0241469
-2.9 0.0161673 0.0161649 0.0201339
-2.8 0.0149467 0.014944 0.0163028
-2.7 0.0141161 0.0141133 0.0129281
-2.6 0.0136137 0.0136108 0.0101156
-2.5 0.0133816 0.0133786 0.00786166
-2.4 0.0133887 0.0133856 0.00611267
-2.3 0.013631 0.0136278 0.00480119
-2.2 0.0141253 0.014122 0.00386339
-2.1 0.0149027 0.0148992 0.00324654
-2 0.0160026 0.0159989 0.00291292
-1.9 0.017469 0.0174651 0.00284274
-1.8 0.0193468 0.0193427 0.00303722
-1.7 0.0216784 0.0216742 0.00352212
-1.6 0.0245003 0.0244959 0.00435201
-1.5 0.0278404 0.0278359 0.00561538
-1.4 0.031717 0.0317122 0.00744044
-1.3 0.0361396 0.0361346 0.0100008
-1.2 0.0411139 0.0411087 0.0135199
-1.1 0.0466486 0.0466432 0.0182714
-1 0.0527613 0.0527557 0.024573
-0.9 0.0594752 0.0594695 0.0327648
-0.8 0.066794 0.0667883 0.043162
-0.7 0.0746487 0.0746434 0.0559589
-0.6 0.0828191 0.0828145 0.0710659
-0.5 0.0908695 0.0908659 0.0879148
-0.4 0.0981823 0.0981796 0.105384
-0.3 0.104149 0.104147 0.122041
-0.2 0.108411 0.10841 0.136623
-0.1 0.110943 0.110941 0.148353
0 0.111924 0.111923 0.156859
0.1 0.111573 0.111572 0.161963
0.2 0.110034 0.110033 0.163558
0.3 0.107342 0.10734 0.161602
0.4 0.103427 0.103425 0.156115
0.5 0.0981842 0.0981819 0.147167
0.6 0.0916692 0.0916662 0.134896
0.7 0.0843059 0.0843016 0.119691
0.8 0.0768052 0.0767999 0.102479
0.9 0.069784 0.0697783 0.0847179
1 0.0635098 0.0635039 0.0679148
1.1 0.0579635 0.0579579 0.0531068
1.2 0.0530197 0.0530144 0.0407241
1.3 0.0485601 0.0485551 0.0307525
1.4 0.0445054 0.0445007 0.0229436
1.5 0.040807 0.0408025 0.0169611
1.6 0.0374312 0.0374268 0.0124589
1.7 0.0343471 0.0343429 0.00912001
1.8 0.03152 0.031516 0.00667252
1.9 0.0289093 0.0289055 0.00489396
2 0.0264693 0.0264657 0.00360876
2.1 0.0241529 0.0241495 0.00268236
2.2 0.0219157 0.0219124 0.00201405
2.3 0.0197216 0.0197185 0.00152996
2.4 0.0175477 0.0175447 0.00117674
2.5 0.0153876 0.0153847 0.000916402
2.6 0.0132531 0.0132504 0.00072213
2.7 0.0111731 0.0111705 0.000575145
2.8 0.00918892 0.00918643 0.000462329
2.9 0.00734794 0.00734555 0.000374517
3 0.00569565 0.00569336 0.000305277
3.1 0.00426775 0.00426556 0.000250057
3.2 0.00308415 0.00308206 0.000205592
3.3 0.00214614 0.00214416 0.000169508
3.4 0.00143723 0.00143536 0.000140046
3.5 0.000927257 0.000925515 0.000115877
3.6 0.000578472 0.000576864 9.5982E-5
3.7 0.000351719 0.000350249 7.95639E-5
3.8 0.000211437 0.0002101 6.59912E-5
3.9 0.000128584 0.000127367 5.47574E-5
4 8.15375E-5 8.04282E-5 4.54521E-5
