VV FullAbs ResPart Thermal
-4 0.00446685 0.00446613 0.0039065
-3.9 0.0055358 0.0055352 0.00533904
-3.8 0.00680179 0.00680136 0.00715434
-3.7 0.00811372 0.00811337 0.00925187
-3.6 0.00922409 0.00922374 0.0113604
-3.5 0.00986425 0.00986388 0.0130767
-3.4 0.00985632 0.00985592 0.0140027
-3.3 0.00920091 0.00920048 0.0139055
-3.2 0.00808798 0.00808749 0.012811
-3.1 0.00681629 0.00681566 0.0109935
-3 0.00566258 0.00566173 0.00886535
-2.9 0.00478258 0.00478153 0.00681331
-2.8 0.00419914 0.00419802 0.00507627
-2.7 0.00385666 0.00385555 0.00372688
-2.6 0.00368253 0.00368144 0.00273027
-2.5 0.00362105 0.00361998 0.00201289
-2.4 0.00364067 0.0036396 0.00150357
-2.3 0.00372877 0.00372768 0.00114734
-2.2 0.00388444 0.00388331 0.000905552
-2.1 0.00411316 0.00411199 0.000752466
-2 0.00442358 0.00442235 0.000672117
-1.9 0.00482565 0.00482436 0.000656354
-1.8 0.00532953 0.00532817 0.000703864
-1.7 0.00594482 0.00594338 0.000819985
-1.6 0.00668009 0.00667857 0.00101721
-1.5 0.00754274 0.00754111 0.00131639
-1.4 0.00853951 0.00853775 0.00174876
-1.3 0.00967812 0.00967622 0.00235897
-1.2 0.0109711 0.010969 0.00320947
-1.1 0.0124426 0.0124403 0.00438671
-1 0.0141401 0.0141375 0.00600988
-0.9 0.0161484 0.0161455 0.00824264
-0.8 0.0185971 0.018594 0.0113059
-0.7 0.0216433 0.02164 0.0154807
-0.6 0.025406 0.0254029 0.0210728
-0.5 0.0298608 0.029858 0.0282902
-0.4 0.0347495 0.0347474 0.0370269
-0.3 0.0395945 0.0395928 0.04668
-0.2 0.0438476 0.0438464 0.0562274
-0.1 0.0470862 0.0470855 0.0645931
0 0.0491041 0.0491034 0.0709844
0.1 0.0498485 0.0498479 0.0749561
0.2 0.0492991 0.0492984 0.0762938
0.3 0.0473993 0.0473984 0.0749019
0.4 0.0441203 0.0441191 0.0707669
0.5 0.03966 0.0396583 0.0640247
0.6 0.0346 0.0345977 0.0551481
0.7 0.0297486 0.0297455 0.0451137
0.8 0.0257267 0.0257231 0.0352234
0.9 0.0227135 0.0227098 0.0265665
1 0.0205432 0.0205399 0.019631
1.1 0.0189433 0.0189404 0.0143678
1.2 0.0176887 0.0176861 0.0104784
1.3 0.0166388 0.0166365 0.00763338
1.4 0.0157189 0.0157168 0.00555868
1.5 0.0148925 0.0148905 0.00404735
1.6 0.014141 0.0141392 0.00294745
1.7 0.0134531 0.0134514 0.00214795
1.8 0.0128189 0.0128173 0.00156767
1.9 0.0122276 0.012226 0.00114713
2 0.0116659 0.0116645 0.00084274
2.1 0.0111186 0.0111173 0.000622553
2.2 0.0105683 0.0105671 0.000463212
2.3 0.00999664 0.00999544 0.000347686
2.4 0.00938575 0.00938462 0.000263619
2.5 0.0087206 0.00871953 0.000202094
2.6 0.00799158 0.00799056 0.000156714
2.7 0.00719717 0.00719619 0.000122912
2.8 0.00634587 0.00634492 9.74469E-5
2.9 0.00545684 0.00545592 7.8021E-5
3 0.00455851 0.00455762 6.30101E-5
3.1 0.00368527 0.0036844 5.12634E-5
3.2 0.00287252 0.00287167 4.19618E-5
3.3 0.00215111 0.00215029 3.45182E-5
3.4 0.00154259 0.0015418 2.85072E-5
3.5 0.0010563 0.00105554 2.36159E-5
3.6 0.000689083 0.000688365 1.96115E-5
3.7 0.000427653 0.000426982 1.63172E-5
3.8 0.000252482 0.000251863 1.35969E-5
3.9 0.000142139 0.000141577 1.13442E-5
4 7.68243E-5 7.63192E-5 9.47469E-6
