A; B; C; 
-113.856; 0; 1.113; 
-112.25; -0.0672; 1.113; 
-110.646; 0.98028; 1.113; 
-109.043; 0.10164; 1.113; 
-107.617; 0.37212; 1.113; 
-106.011; 0.0672; 1.113; 
-104.407; -0.47292; 1.113; 
-102.801; -0.0672; 1.113; 
-101.198; -0.30408; 1.113; 
-99.4143; -0.16884; 1.113; 
-97.9881; 1.3524; 1.113; 
-96.3847; 1.08192; 1.113; 
-94.9585; 0.13524; 1.113; 
-93.1751; -0.94668; 1.113; 
-91.5717; -0.7434; 1.113; 
-90.1428; -0.30408; 1.113; 
-88.5393; -0.87864; 1.113; 
-86.9359; -0.23688; 1.113; 
-85.3298; 0.43932; 1.113; 
-83.7263; 0.7098; 1.113; 
-82.1229; 0.0336; 1.113; 
-80.694; -0.13524; 1.113; 
-78.9133; 1.01388; 1.113; 
-77.4872; 0.81144; 1.113; 
-75.7037; -0.40572; 1.113; 
-74.0976; -1.62288; 1.113; 
-72.4941; -0.43932; 1.113; 
-71.068; -0.30408; 1.113; 
-69.4646; -0.77784; 1.113; 
-67.8584; -0.94668; 1.113; 
-66.0777; -1.28436; 1.113; 
-64.6488; -0.6426; 1.113; 
-63.0454; -1.65648; 1.113; 
-61.442; 0.13524; 1.113; 
-59.8358; 0.33768; 1.113; 
-58.2324; 1.386; 1.113; 
-56.449; 1.25076; 1.113; 
-55.0228; 1.96056; 1.113; 
-53.5966; 0.98028; 1.113; 
-51.8132; 1.08192; 1.113; 
-50.387; 2.33268; 1.113; 
-48.6064; 1.08192; 1.113; 
-47.1802; 0.23688; 1.113; 
-45.574; 0.33768; 1.113; 
-43.7906; 0.98028; 1.113; 
-42.3644; 2.0958; 1.113; 
-40.761; 2.7048; 1.113; 
-39.1548; 2.46792; 1.113; 
-37.5514; 1.96056; 1.113; 
-35.948; 2.40072; 1.113; 
-34.3418; 2.84004; 1.113; 
-32.7384; 2.80644; 1.113; 
-31.3122; 2.26548; 1.113; 
-29.7088; 1.96056; 1.113; 
-28.1026; 2.60316; 1.113; 
-26.4992; 2.80644; 1.113; 
-24.893; 3.14412; 1.113; 
-23.4669; 3.95556; 1.113; 
-21.6834; 2.7384; 1.113; 
-20.08; 4.7334; 1.113; 
-18.4766; 4.56372; 1.113; 
-17.0504; 4.56372; 1.113; 
-15.4443; 6.28824; 1.113; 
-13.8408; 4.90224; 1.113; 
-12.0574; 4.90224; 1.113; 
-10.8085; 4.0908; 1.113; 
-9.02785; 5.10468; 1.113; 
-7.24443; 5.78088; 1.113; 
-5.64102; 5.95056; 1.113; 
-4.21207; 7.06608; 1.113; 
-2.78589; 8.58732; 1.113; 
-1.00525; 8.72256; 1.113; 
0.600933; 9.90612; 1.113; 
2.20434; 9.36516; 1.113; 
3.81053; 8.07996; 1.113; 
5.2367; 7.40376; 1.113; 
6.66288; 6.72756; 1.113; 
8.62353; 6.96444; 1.113; 
10.0497; 6.55872; 1.113; 
11.6531; 4.86864; 1.113; 
13.2593; 3.92196; 1.113; 
14.8627; 2.94084; 1.113; 
16.4661; 2.80644; 1.113; 
17.7151; 3.04248; 1.113; 
19.4985; 1.72452; 1.113; 
21.1019; 2.56956; 1.113; 
22.7081; 1.79172; 1.113; 
24.3115; 1.75812; 1.113; 
25.7377; 1.85976; 1.113; 
27.3411; 2.63676; 1.113; 
28.9473; 1.995; 1.113; 
30.5507; 1.65648; 1.113; 
32.3341; 0.27048; 1.113; 
33.583; 0.57456; 1.113; 
35.1864; 0.10164; 1.113; 
36.9699; 0.84504; 1.113; 
38.396; -0.27048; 1.113; 
39.9994; -0.81144; 1.113; 
41.6056; -0.10164; 1.113; 
43.209; 0.84504; 1.113; 
44.8125; 0.94668; 1.113; 
46.4186; 0.84504; 1.113; 
47.8448; 0.60816; 1.113; 
49.4482; -0.10164; 1.113; 
nan; nan; nan; 
nan; nan; nan; 
