A; B; C; D; E; F; 
1; Wasp-107b; 10; 3; 0.3; 0.1113; 
2; HD189733b; 1.07; 0.38; 0.35514; 0.086; 
3; HD189733 b; 0.72; 0.1; 0.138889; 0.104167; 
4; HD209458b; 0.85; 0.1; 0.117647; 0.117647; 
5; Wasp69; 2.7; 0.63; 0.233333; 0.111111; 
6; HatP32; 6.8; 3.2; 0.470588; 0.0746269; 
nan; nan; nan; nan; nan; nan; 
8; nan; nan; nan; nan; nan; 
9; nan; nan; nan; nan; nan; 
10; nan; nan; nan; nan; nan; 
11; nan; nan; nan; nan; nan; 
12; nan; nan; nan; nan; nan; 
13; nan; nan; nan; nan; nan; 
14; nan; nan; nan; nan; nan; 
15; nan; nan; nan; nan; nan; 
16; nan; nan; nan; nan; nan; 
17; nan; nan; nan; nan; nan; 
18; nan; nan; nan; nan; nan; 
19; nan; nan; nan; nan; nan; 
20; nan; nan; nan; nan; nan; 
21; nan; nan; nan; nan; nan; 
22; nan; nan; nan; nan; nan; 
23; nan; nan; nan; nan; nan; 
24; nan; nan; nan; nan; nan; 
25; nan; nan; nan; nan; nan; 
26; nan; nan; nan; nan; nan; 
27; nan; nan; nan; nan; nan; 
28; nan; nan; nan; nan; nan; 
29; nan; nan; nan; nan; nan; 
30; nan; nan; nan; nan; nan; 
31; nan; ; ; ; ; 
32; nan; ; ; ; ; 
